SITE|STONE|DISC_CIRC|DISC_WHEN|DISC_WHO|SUBSQ_HIST|CURRENT_SE|CURRENT_LO|LOC_NOTES|MON_FORM|FORM_NOTES|COMPLETENE|PRESERVATI|PRESCONDNO|M_SOURCE|M_HEIGHT|M_HT_STATU|M_WIDTH|M_WDTH_STA|M_THICKNES|M_THCK_STA|I_SOURCE|I_HT_FEET|I_HT_INCHE|I_HT_STATU|I_WD_FEET|I_WD_INCHE|I_WDTH_STA|I_TH_FEET|I_TH_INCHE|I_THCK_STA|STONE_TYPE|NO_CARVED|DECOR_NOTE|VISITED|id
PARAR|1|recognised|1804|H. Pelham|Macalister/1945, 237, `Lying upon the top of the wall of the chancel on the south side'.|unattch|on site|Macalister/1945, 237, `Lying upon the top of the wall of the chancel on the south side'.|pilsp||complete|some|Macalister/1945, 237, `...imperfect at both ends'.|converted|1.68|actual|0.25|actual|0.15|actual|Macalister/1945|5|6|actual|0|10|actual|0|6|actual||0||f|PARAR/1
PARAR|2|first mentioned|1804|H. Pelham|Macalister/1945, 238--239, `A stone noticed by Pelham lying in the N.W. corner of the church...Lady Chetterton saw and sketched the stone in 1838: by then it had been removed into the garden of the Lord Headley of that day...Hitchcock also saw the stone...by his time it had been returned to the church, apparently after Lord Headley's death...It is evident that the stone is now missing'.|lost|lost|Macalister/1945, 238--239, states that the stone was last recorded in a note in 1883-84, but that is `is now missing'.|pilsp||n/a|n/a||converted|1.3|uncertain|0.24|uncertain|0.18|uncertain|Macalister/1945|4|3|uncertain|0|9.5|uncertain|0|7|uncertain||0||f|PARAR/2
PATRS|1|first mentioned|1856|J.O. Westwood|First mentioned by Westwood in Arch Camb 1856 [KL--do].|on ground|earliest|"
In the parish church."|eccfn|"Westwood/1876, 71: `The font is large and circular, with a narrowed circular base resting on a broader circular block. Its upper part measures 34 inches in its external diameter, the basin being 20 inches in diameter with an excavated drain. The outside of the body of the font is quite plain, but upon the flat ridge of the top of the font is the inscription...On either side are two holes for the staples for the cover.''

Macalister/1949, 139: `...plain massive cylindrical basin upon a thick cylindical stem: for the dimensions see the diagram''.

Nash-Williams/1950, 79: `Bowl-font. 32'" diam. x 6'" w. (across rim).''"|complete|good||converted||inc|0.81|actual|0.81|actual|Nash-Williams/1950||0|inc|2|8|actual|2|8|actual||2|"Westwood/1876, 71: `...two semi-foliated ornaments, extending into a line which runs all round within the outer edge and encloses the inscription.''

Macalister/1949, 1399: `On the rim there is a simple ornament of spirals''.

Nash-Williams/1950, 79: `incised foliated border''."|f|PATRS/1
PBRYN|1|first mentioned|1695|E. Lhwyd|"Westwood/1879, 146, `This stone was first noticed by Edward Lhwyd (Gibson''s Camden, p. 648, and ii. p. 42 ; Gough''s Camden, iii. p. 160), and was also subsequently engraved by Meyrick (Cardiganshire, P1. IV. fig. 2). From information received by me from H. Jenkins, Esq., and the Rev. John Hughes, Vicar of Penbryn, it appears that this stone formerly rested on the side of an artificial mound of stones in a field not far from the church of Penbryn, called Parc Carreg y Lluniau, on the Dyffryn Bern estate. On removing the tumulus (of which no trace now remains) an urn was found buried, but it was not ascertained what were its contents. The stone was afterwards set up in its present erect position as a rubbing-post for the cattle...It was visited by the members of the Cambrian Archaeological Association during the Cardigan Meeting, and was subsequently published by the Rev. H. L. Jones (Arch. Camb., 1861, p. 306)''.

Macalister/1945, 339, `In Lhuyd''s time this monument stood on a heap of stones which were cleared away, according to Meyrick, two years before he wrote (_i.e._, about 1806), when some silver coins and an urn containing ashes were found.  He tells us nothing about the nature of the coins found in such curious combination.''

Nash-Williams/1950, 102, `The stone was first recorded in the 1695 edition of Gibson''s Camden, where it is vaguely referred to as `a rude stone in Penbryn parish, not far from the Church''. Later references describe the stone as lying against a `heap of stones'' (cairn?) on or near its present position on the summit of a saddle-backed field formerly known as ''Parc Carreg y Lluniau''. Removal of the heap of stones[4] carried out about 1804 as a preliminary to re-erecting the stone brought to light ''an urn full of ashes, as well as a few bronze, silver and gold Roman coins of the time of Vespasian, which were presented...to Colchester Museum,[5] with the exception of a gold Vespasian...''. The `urn'', a small grey- ware olla of late 1st- or early-2nd-century A.D. type, and the `gold Vespasian'', actually an aureus of Titus (A.D. 79-8I), are now preserved in the National Museum of Wales (Accession Nos. 05-176 and 29.433/2).

`[4] Another account (in AC, 1862, p. 216) speaks of the removal of a ''windmill...in a very dilapidated condition''.

`[5] Mr. M. R. Hull, the Curator of the Colchester Castle Museum, kindly informs me that his registers show no record of the coins alleged to have been presented to that Museum.''

"|in ground|earliest||pilsp|"Westwood/1879, 146, `The stone is nearly 5 feet high and 21 inches wide.''

Nash-Williams/1950, 102, `Rough pillar-stone. 57+'" h. x 24--30'" w. x 26'" t.''."|complete|good|The stone appars to be in good condition.|converted|1.52|visible|0.76|actual|0.36|actual|Macalister/1945|5|0|visible|2|6|actual|1|2|actual||0||f|PBRYN/1
PERNP|1|recognised|1932|Hencken|Okasha/1993, 200, `The stone was recorded in 1932 by Hencken `built upside down into wall of St. Pieran's oratory...in 1980, when it was last uncovered, the inscribed stone was observed by Dr. L. Olson and O.J. Padel'.|in struct|earliest|Okasha/1993, 200, cites Hencken/1932 that the stone built into a wall of St. Pieran's Oratory.  This is now covered in sand although it was observed by L. Olson and O. J. Padel in 1980.|n/a||n/a|n/a||n/a|-1|inc|-1|inc|-1|inc|n/a|-1|-1|inc|-1|-1|inc|-1|-1|inc||0||f|PERNP/1
PGWRA|1|first mentioned|1799|Antis, J.|Okasha/1993, 211, `The stone recorded only in an eighteenth-century manuscript, which belonged to J. Anstis: `A Corner stone in the Court Wall of hor Gwera, or the Higher Cove in St. Levans pish, within a quarter of a Mile of the Lands End'.|lost|lost|Okasha/1993, 211, `The stone is now lost'.|inc|Okasha/1993, 211, `The description ... [is taken from the drawing in Anstis' manuscript (fig. II.42).  The stone appears uncarved, although only one face is shown.  The stone is lying, with its left-hand side broken.'|frgmntry|n/a||n/a|-1|n/a|-1|n/a|-1|n/a|n/a|-1|-1|n/a|-1|-1|n/a|-1|-1|n/a||0||f|PGWRA/1
PHLLK|1|in/on structure|1856|Hockin, Rev F.|Okasha/1993, 201, `The stone was discovered in 1856 when the church was being rebuily. Edmonds, quoting information from the Rector, the Rev. F. Hockin, stated that it `was one of the foundation stone of the late church near the south-eastern corner of the chancel'. In 1858 Edmonds said that it `now stands outside the wall of the `vestry', in the south-eastern corner of the church-yard. This is presumably the stone's present position'.|in ground|on site|Okasha/1993, 201, `The stone is now in Phillack churchyard, to the east of the church and set against the wall of an outhouse.'|pilsp|Okasha/1993, 201, `The stone is an uncarved pillar-stone'.|complete|some|Okasha/1993, 202, `The stone is... probably complete'.|Okasha/1993|1.56|visible|0.5|actual|0.38|actual|Macalister/1945|5|3|visible|1|6|actual|1||actual||0||f|PHLLK/1
PMCH1|1|in/on structure|1856|workmen|"Westwood/1879, 175, `The stone here figured (for a knowledge of which l am indebted to Miss F. Wynne of Voelas Hall) was first mentioned by the Rev. H. L. Jones at the Bangor Meeting of the Cambrian Archaeological Association in 1860, and is now securely placed in the church of Penmachno.'' (This is a direct copy of Westwood''s earlier article, Westwood/1863, 255.)

Macalister/1945, 369, `The first three [PMCH1/1, PMCH/2, PMCH/3] of the four stones preserved in the present church of Penmacho were discovered in taking down the old building''.

Nash-Williams/1950, 92, `Churchyard''."|unattch|on site|"Macalister/1945, 369, `secured in a locked cupboard inside the entrance of the modern church.''

Nash-Williams/1950, 92, `Inside church against the N. wall of nave at W. end.''

"|pillc|Nash-Williams/1950, 92, 'Rough pillar stone.'|complete|good||converted|0.71|actual|0.28|actual|0.13|actual|Macalister/1945|2|4|actual|0|11|actual|0|5|actual||1|"Westwood/1879, 175, `bears on the upper part a large representation of the Labarum monogram of the name of Christ [chi-rho]...The introduction of the monogram of Christ is of very unusual occurrence on the stones of this country (see ante, p. 145), the peculiarity in the present instance consisting in the Greek chi (X) being + shaped, the upper arm of the figure representing the Greek rho, whilst the lower part of the figure represents the l, making together XPI for Christi. Other instances occur both at St. Just, St. Helm''s and Phellock in Cornwall, and in the pavement of the Roman villa at Frampton, Dorsetshire ; at Jarrow, Durham (in the dedication stone of the church); and at Kirkmadrine and Whithorn, Wigtonshire, Scotland. Its presence here seems to indicate a very early date, probably of the fifth or sixth century.''

See also Westwood/1863, 255--256.

Macalister/1945, 370, `a chi-rho symbol, in the form with a single horizontal transom''.

Nash-Williams/1950, 92, `Chi-Rho (with closed loop and straight cross-bar)...The _Chi-Rho_ symbol... above the inscription appears here in its later form as the so-called `monogrammatic cross''.

Note 1, `The Chi-Rho symbol (p. 15) apparently occurs on Early Christian monuments in Britain twelve times---five in Cornwall, two in Wales (the present stone and No. 106), one in Northumbria and four in W. Scotland. Two of the Cornish examples are in the early Constantinian (4th century A.D.) form ; all the others except that from Northumbria are in the `monogrammatic cross'' (5th century and later) form (as here). The Northumbrian example, in the Constantinian form and dated c. A.D. 685, is probably an antiquarian survival. The monogram also occurs on monuments in Ireland, where it ''is not as rare as is generally supposed''. The distribution as a whole is consistent with the view that Christian influences were infiltrating into the Celtic regions of Britain in the sub-Roman period direct from Gaul by way of the western seas (p. 4). See Hencken, Cornwall and Scilly, pp. 212 if. ; IBC, p. 99; NC, p. if.; ECMS, i, p. xvi; IA, p. 33; Antiquity, viii (1934), p.49 (Sir Alfred Clapham).''"|f|PMCH1/1
PMCH1|2|in/on structure|1856|workmen|"Westwood/1879, 175, `The stone here figured (for a knowledge of which l am indebted to Miss F. Wynne of Voelas Hall) was first mentioned by the Rev. H. L. Jones at the Bangor Meeting of the Cambrian Archaeological Association in 1860, and is now securely placed in the church of Penmachno.'' (This is a direct copy of Westwood''s earlier article, Westwood/1863, 255.)

Macalister/1945, 369, `The first three [PMCH1/1, PMCH/2, PMCH/3] of the four stones preserved in the present church of Penmacho were discovered in taking down the old building''.

Nash-Williams/1950, 92, `Found `on taking down the old church''.''"|unattch|on site|"Macalister/1945, 369, `secured in a locked cupboard inside the entrance of the modern church.''

Nash-Williams/1950, 92, `Inside church against the N. wall of nave at W. end.''"|pilsp|"Westwood/1879, 175, `a rude stone''. (This is a repeat of Westwood/1871, 262--263.)

Nash-Williams/1950, 92, `Part of a tall, roughly quadrangular pillar-stone (top
fractured away).''"|incomplete|some|"Nash-Williams/1950, 92, `top fractured away''.

Macalister/1945, 371, `a fragment''."|converted|1.1|actual|0.15|actual|0.29|actual|Macalister/1945|3|7.5|actual|0|6|actual|0|11.5|actual||0||f|PMCH1/2
PMCH1|3|in/on structure|1856|workmen|"Westwood/1879, 175, `The stone here figured (for a knowledge of which l am indebted to Miss F. Wynne of Voelas Hall) was first mentioned by the Rev. H. L. Jones at the Bangor Meeting of the Cambrian Archaeological Association in 1860, and is now securely placed in the church of Penmachno.'' (This is a direct copy of Westwood''s earlier article, Westwood/1863, 255.)

Macalister/1945, 369, `The first three [PMCH1/1, PMCH/2, PMCH/3] of the four stones preserved in the present church of Penmacho were discovered in taking down the old building''.

Nash-Williams/1950, 92, `Precise find-spot not recorded.''"|unattch|on site|"Macalister/1945, 369, `secured in a locked cupboard inside the entrance of the modern church.''

Nash-Williams/1950, 92, `Inside church against the N. wall of nave at W. end.''"|pilsp|"Nash-Williams/1950,  92, `Roughly quadrangular pillar-stone (top partly fractured away). 343/4'" h. x 10'" w. x 8'" t.''"|incomplete|some|Nash-Williams/1950, 92, `top partly fractured away'.|converted|0.76|actual|0.25|actual|0.19|actual|Macalister/1945|2|6|actual|0|10|actual|0|7.5|actual||0||f|PMCH1/3
PMRFA|1|in/on structure|1881|Griffiths, Cptn .E|Rhys was notified by J. Lewis of the find by Evans in 1881, and visited the stone in the following month (Rhys/1882, 161).  At that time, and probably up until 1966, the stone lay by a wall near the house (Rhys/1882, 161, Macalister/1945, 372, Nash-Williams/1950, 93, Lewis/1966, 166).   Lewis states: `The stone at Gesail-gyfarch has been raised on a dry bed and a stone shelter built over it' (Lewis/1966, 166).  The stone had been removed from a demolished cow shed and was about to be built into a new wall when it was rescued, but not before the stone had been trimmed by masons (Rhys/1882, 161).|in display|on site|In 1964 the stone was placed in a protective shelter on the site (Lewis/1966, 166).|pilsp|A slab of greenstone 10 to 14 inches wide and 6 inches thick.  Measurements from the various sources vary slightly.  The stone appears to have been extracted from just where the greenstone overlies `the lingula flags of the district' which has led to a hard patch in the middle of the inscription where the letters are faint or missing (Rhys/1882)  The head and left side are damaged (Nash-Williams/1950, 93), perhaps to make it fit as a lintel (Macalister/1945, 372).|incomplete|some|The stone is damaged at the top, dating from either when it was about to be used in a wall (Rhys/1882, 161), or when it was used as a lintel (Macalister/1945, 372).  In 1960 the Royal Commission noted its condition as `fair, suffering from exposure' (RCAHMW/1960, 95).|converted|1.66|actual|0.33|actual|0.15|actual|Macalister/1945|5|5.5|actual|1|1|actual|0|6|actual||0||f|PMRFA/1
PNZAN|1|first mentioned|1845|Courtney, J. S.|"Okasha/1993, 194, `Until 1829 the cross stood `at the north-east corner of the Green Market''.  In September 1829, during road-widening, the cross was moved a few metres to stand at the junction of Greenmarket and Causewayhead...Haliwell recorded that the house on this corner was demolished in the summer of 1861 but that the cross remained there, he continued: `it is said that the Corporation intend to remove it to a more conspicuous position near the Town Hall''.  The cross was subsequently moved, before 1870, to the western end of the Market House...On 15th July 1899 the cross was moved to Morrab Gardens and in the summer of 1953 to its present position.  Pool suggested that the original site of the cross may have been one of the two places with the field-name `Park-an-Grouse'' (Cross Field), one of which, on the north side of Alverton, is near to Greenmarket.''

Thomas/Thorpe/1998, 1, `Earlier this year, the Penzance Market Cross...was moved for the fifth and (one hopes) final time, to a new stance on the SW front terrace of the rebuilt Penlee House Art Gallery and Museum, Morrab Road, Penzance.  The moving, monitored and photographed by C. Thomas...involved an apparatus of slings and a mobile crane.''"|in ground|other|Thomas/Thorpe/1998, 1, `on the SW front terrace of the rebuilt Penlee House Art Gallery and Museum, Morrab Road, Penzance.'|inc|"Macalister/1949, 181--182, `The cross is granite, ...but tapering to the top.  It consists of a shaft, expanding to a circular head with a cross indicated by triangular sinkings (outlined only on the front face).  There is a hole on each side of the stone, on the lower arm of the cross.''

Okasha/1993, 195, `The stone is a complete cross with carving on all sides of the shaft... Photographs of the stone when it was being moved show it being broken at the bottom and suggest that there must be only a small proportion of the shaft inside the modern base.''"|complete|some|"Macalister/1949, 181, `At one of these transfers, part of the back of the cross was hacked away''.

Stone appears from photographs to be broken at the base.  It is weathered."|Okasha/1993|2.15|visible|0.56|actual|0.25|actual|Macalister/1949|7||visible|1|9|actual||9.5|actual||4|"Macalister/1949, 181, `The devices on the shaft of the cross are as follows:---

`_Front:_ Ten panels arranged in pairs.  The two upper pairs have an interlacement (worn almost to invisibility) alternating with rows of dots.  The three lower pairs are blank, except the sinister panel of the topmost of these, which has a row of dots.  Nothing can now be traced in the other five panels.

`_Sinister side._ Five panels. Topmost panel blank.  Second panel, a figure in a full skirt, facing outward; holding something triangular in the right arm.  Third panel, rows of dots.  Fourth panel ... [inscription PNZAN/1/2] ... Fifth panel, some unintelligible letters [inscription PNZAN/1/3].

`_Back._ A figure, outlined, wearing a long tunic.  Beneath, about one-third of the surface of the shaft chipped away.  Beneath that again, four panels : the upper dexter bearing an inscription in three lines, apparently continued in the lower dexter [inscription PNZAN/1/1] : the upper sinster blank, the lower sinster, rows of dots...

`_Dexter side:_ Four panels : the topmost plain ; the second apparently (but doubtfully) bearing two <-shaped lines interlacing ; the third, rows of dots ; the fourth, the outline of which is incomplete below, a small rudely drawn figure.''"|f|PNZAN/1
POMCK|1|first mentioned|1868|Rev. J. Shearman||lost|lost|Macalister/1945, 21, gives the location of the stone in 1868 according to Shearman and Ferguson: `...formerly standing beside St. Marnock's well, near Malahide, Co. Dublin'. |inc||n/a|n/a|Macalister/1945, 21: `The stone was broken up some time after the above date[1868], and the fragments dispersed, apparently for building material'. |converted||n/a||n/a||n/a|Macalister/1945|||n/a|||n/a|||n/a||0|Macalister/1945, 21: `A key-hole shaped opening in the sinister side of the drawing labelled `St Marnock's fingers'. |f|POMCK/1
PONTS|1|first mentioned|1694|E. Lhwyd|Nash-Williams/1950, 79: ` On Ystrad mountain in ye parish of Landhetty' ...Sketched by or for Edward Llwyd. Now lost.'|lost|lost||pilsp|Nash-Williams/1950, 79:  `Rough pillar-stone, 'pitch'd on end a yard a.h. high, a foot thick, h. a yd. broad'.'|n/a|n/a||converted|1.37|uncertain|0.46|uncertain|0.3|uncertain|Lhwyd/1910|4|6|uncertain|1|6|uncertain|1|0|uncertain||0||f|PONTS/1
POOL|1|arch excav|1984|inc||in display|museum|Forsyth/1996, 456: `When found the slab was in a secondary context, broken and reused as an orthostat, i.e. upright. The final floor level of the structure partly concealed the inscirption, so it is clear that, unlike Birsay 3, the Pool ogham cannot have been carved _in situ_. It is now on display in the Tankerness House Museum, Kirkwall, Orkney'. |slbns|Forsyth/1996, 457: A broken building slab'. |frgmntry|some||Forsyth/1996|0.85|actual|0.5|actual|0.6|actual|converted|2|9.5|actual|1|7.75|actual|1|11.5|actual||||f|POOL/1
PRCMB|1|first mentioned|1797|S. Badcock|Okasha/1993, 193, `The stone was recorded in 1797 by Polwhele but even then was lost. Polwhele stated...`about ten or lwelve years since, it was made the foundation of a little bridge, on the rivulet where it originally stood'. The bridge was widened in 1864 but Chnater and Worth, writing in 1905, thought it probably that the stone was still there. Grinsell recorded that the bridge was partially destroyed in 1952 `so it is doubtful whether this stone can ever be recovered'.|lost|lost||n/a||n/a|n/a||n/a|-1||-1||-1||n/a|-1|-1||-1|-1||-1|-1|||0||f|PRCMB/1
PRHOS|1|first mentioned||inc|"The stone is first illustrated in Rowlands/156, 157. The stone was in the churchyard in 1802, when it was seen there by Skinner/1802, 76-77. In 1845 it could not be found by Longueville Jones [Jones/1846, 166]. By 1861 Jones had found the stone again [ Jones/1861, 296]. In 1864 Boston records that he had re-discovered the stone partly hidden by a modern grave and also overgrown with turf [Boston/1864, 105].

A photo from 1908 has the stone still in the churchyard, Anon/1908, 89.

RCAHMW/1937, 132, ''set in the chancel on the S. wall''.

Macalister/1945, 313-314, ''now in the chancel. against the inner face of the north wall''.

Nash-Williams/1950, Inside church on S. all of chancel''.

National Museum of Wales cast No. 02.171.

"|in display|on site|In chancel of parish church against the inner face of the south wall.|pilsp|"Macalister (1945, 314) gives dimensions as: 5''0'" x 2'' 8 1/2'" x 8'".
Nash-Williams (1950, 67) gives dimensions as: 56'" x 32 '" x 8 '" (4''8'" x 2''8'" x 8'")."|complete|good|The stone appears to be complete and in good condition.|converted|1.52|actual|0.83|actual|0.2|actual|Macalister|5||actual|2|8.5|actual||8|actual||0||f|PRHOS/1
PRIES|1|first mentioned|1906|P. Power|Macalister/1945, 256, cites P. Power in 1906 as the first recorder of the stone, and states that it was still standing in a field in his day.|in ground|earliest|Macalister/1945, 256, `standing in a field'.|pilsp||incomplete|some|Macalister/1945, 256, `...much weathered: the top is broken'.|converted|2.13|actual|0.79|actual|0.85|actual|Macalister/1945|7|0|actual|2|7|actual|2|9.5|actual||0||f|PRIES/1
PRKLA|1|first mentioned|1902|Macalister, R.A.S.|"Macalister/1945, 217, `Of unknown provenance; for long preserved in Bishop Graves'' garden at Parknasilla and now...presented by the Great Southern Railway to the National Museum''.

Macalister/1902, no. 113, seems to be the first record of this stone."|in display|museum|Macalister/1945, 217, `now...presented by the Great Southern Railway to the National Museum'.|pilsp||complete|some|Macalister/1945, 217, `occasional chips and...weather wear'.|converted|1.08|actual|0.3|actual|0.18|actual|Macalister/1945|3|6.5|actual|1|0|actual|0|7|actual||0||f|PRKLA/1
PRTYV|1|recognised|1894|P.M.C. Kermode|"Kermode/1907, 121, `In 1894, as once before, it [the stone] had fallen from its position on the hedge at Port-y-Vullen on the road to Ramsey to Maughold Parish Church. While lying on its edge by the side of the road I happened to pass at a time when the light just caught and set out the inscription, which had never before ben noticed. As soon as I could do so I had it removed to the Parish church, and ...placed it in as sheltered a corner as possible''.

Macalister/1949, 190, `now in the `Cross-house'' at Maughold''."|in display|museum|Macalister/1949, 190, `now in the `cross-house at Maughold'. (MM 69).|slbcr||complete|good|The stone is undamaged and in good condition.|converted||actual|0.86|actual||actual|Kermode/1907|7||actual|2|10|actual||5|actual||1|"Macalister/1949, 190, `On one face there are five hemispherical bosses, disposed so as to suggesrt a cross, which is further elaborated by a wheel and stem, and by prolongations of the cross-arms: but the space inside the wheel is left blank, except for the central boss''.
"|f|PRTYV/1
STNIN|1|recognised|1877|G. Goudie||inc|inc||slbns|Forsyth/1996, 471: `A carefully-prepared thin oblong slab, undecorated except for an ogham inscription carved up the entire length of one narrow edge'.  |incomplete|some|Forsyth/1996, 471: `The two broad faces are severely laminated and large chunks of the surface have been lost. Both the upper and the lower edges are fractured. A portion of unspecified length is missing from the beginning of the edge'. |Forsyth/1996|0.76|actual|0.26|actual|0.45|actual|converted|2|6|actual|0|10.25|actual|1|5.75|actual||0||f|STNIN/1
PRTT1|1|recognised|1839|inc|"Rhys/1873, 10, `At Port Talbot I overlooked...[this] important stone''.

Westwood/1879, 38--39, `This stone originally stood upon the road from _Nidum_ (Neath) to the southern Bovium or Bomium (either Boverton or Ewenny). Thirty years ago I found it lying in the harbour-master''s office at Port Talbot, broken into five or six pieces. ...

`In addition to the notices above given, this stone has been recorded in the `Journal of the Archaeological Institute,'' iii. 1846, p. 274; the `Journal of the Archaeological Association,'' ii. 1847, p. 287; Thomas Wright''s `The Celt and the Saxon,'' p. 456 ; Haddan and Stubbs, Councils, i. 168 ; and by myself in the Arch. Camb., 1856, pp. 251, 320. ''

Rhys/1899, 145, `Another stone, which was formerly at Port Talbot, is now in the church [at Margam]''.

Macalister/1945, 383: `It was originally at Port Talbot.''

Nash-Williams/1950, 161, `Found on the E. outskirts of the town beside the former course of the main road, near an old toll-cottage.''

RCAHMW/1976, 37: `found in 1839 on the outskirts of Port Talbot (No. 755 (iii))''."|in display|museum|"Nash-Williams/1950, 161, `The stone is in Margam Abbey Museum.''

RCAHMW/1976, 37, `The stone, formerly in Margam Abbey Church, is in Margam Stones Museum, set up as for a milestone.''"|rrmil|"Westwood/1879, 38, `It was about 5 feet long and 1 1/4 feet wide, tapering at the lower end, and was doubtless originally inserted upright in the ground. On its face it bears the Roman inscription...

`On the other side of the stone [is the second inscription].''

Rhys/1899, 145: `Roman milestone''.

Macalister/1945, 383, `A pillar... with rounded sides''.

Nash-Williams/1950, 161, `Rough pillar-stone...60+'" h. x 19 1/2'" w. x 3--12'" t...The stone bears two inscriptions (Fig. 174) on the front and back respectively...For another example of a re-used Roman monument see No. 228.''

RCAHMW/1976, 37, `The squared sandstone pillar (Plate 1) originally serving as a Roman milestone and  was re-used inverted for a Latin memorial inscription on the opposite face.''"|incomplete|good|"CISP: A piece of the stone appears to have been lost since Westwood saw it, and in the process a part of the Roman inscription has been lost.

Rhys/1899, 145, `The stone is broken in several pieces''.

Rhys/1918, 186, `The Roman inscription itself with the three first lines incomplete owing to the loss of one of the six pieces to which the stone was reduced.  However, Westwood, in his plate 26, gives all the six pieces, but his plate leaves the third line impossible to read.''

Macalister/1945, 383, `broken into several pieces.  The top fragment is lost, but otherwise the stone is in good condition.''

Nash-Williams/1950, 161, `fractured in five pieces, with part of the head wanting''."|converted|1.52|visible|0.48|actual|0.25|actual|Macalister/1945|5|0|visible|1|7|actual|0|10|actual||0||f|PRTT1/1
PRTT2|1|first mentioned|1857|Westwood, J. O.|"Rhys/1873, 8: `Aug. 29.---On leaving Margam I had a look at two stones near the station aat Port Talbot.  One of them has on it a cross and the inscription''.

Westwood/1876, 31--32: `The cylindrical stone of which the upper half only is represented (the lower part being quite plain and cylindrical) now stands against the south side of the south wall of the yard of the neat, newly-built farm-house about 200 yards from the Port Talbot Station, and was described and figured by myself in Archaeologia Cambrensis, 1857, p. 57.''

Rhys/1899, 144: `A cross which used to be at Port Talbot is now also in the church at Margam, and reads''.

Macalister/1949, 159: `In the year 1849 the stone was lying under a hedge at the farmhouse of Cwrt Isaf.''

RCAHMW/1976, 40--41: `noted before 1847 at Lower Court (Cwrt Isaf), a farmhouse formerly near Port Talbot; it was subsequently moved to Margam and is now in Margam Stones Museum.''"|in display|museum|Nash-Williams/1950, 161: `The stone is in Margam Abbey Museum.'|pilsc|"Westwood/1876, 31--32: `Westwood/1876, 31--32: `The cylindrical stone of which the upper half only is represented (the lower part being quite plain and cylindrical)...

`It is about 5 feet high, and has the upper end injured. It is gradually but slightly thickened to its base, and is marked with three crosses of the ordinary Latin form... The smaller outline cross (facing the west) is accompanied by the inscription...''

Macalister/1949, 159: `A cylindrical pillar... tapering slightly downward.''

Nash-Williams/1950, 161: `Roughly cylindrical pillar-stone... 56+'" h. x 11 1/2--14'" diam. The pillar bears three incised crosses, and is also inscribed.''

RCAHMW/1976, 41: `Cylindrical pillar-stone (Plate 3) with three incised crosses (Fig. 6, h i j) and an inscription... When discovered, the upper part had been fractured off and its length was recorded as about 1.5m, of which 1.14m is now exposed; the diameter is 38cm.''"|incomplete|some|"Macalister/1949, 159: `The top is broken off.''

Nash-Williams/1950, 161: ` top fractured away''."|RCAHMW/1976|1.14|visible|0.38|actual|0.38|actual|Macalister/1949|4|8|visible|1|1.5|actual|1|1.5|actual||3|"Westwood/1876, 32: `marked with three crosses of the ordinary Latin form varying in size, two of them (seen in fig. 3) having the outlines formed of incised lines, whilst the third (now facing the east, seen at the right side of fig. 2) is entirely incised.''

Macalister/1949, 159: `There are two plain crosses on the stone, the dexter arm of the one lying in the lower sinister canton of the other.''

Nash-Williams/1950, 161: `_Front._ Outline cross with faintly splayed limbs (Fig. 7, 8) and an inscription... _Right._ Outline cross as before. _Back._ Deeply incised linear cross with faintly splayed limbs (Fig. 6, 7). For a somewhat similar combination of crosses cf. No. 301. 7th--9th century.''

RCAHMW/1976, 41: `Cross (a) on the S. side as now set is a linear Latin cross 38cm tail and cut as a broad groove with slightly splayed arms (the upper arm lost by fracture). The two other crosses, (b) to W. and (c) to N., are larger and in outline form with regularly splayed arms; they are virtually identical but the upper limb of (c) is lost by fracture.''"|f|PRTT2/1
PRTT3|1|in/on structure|1869|workmen|"Richards/1925, 424, `Mr. J. E. Jones...has recently entrusted to the care of the local Historical Society a very early inscribed cross amd a twelfth century piscina revealed in 1869, when an old farmstead bearing the name ``The Croft,'''' was demolished''.

Macalister/1949, 152, `now in the National Museum of Wales.''

RCAHMW/1976, 42, `It was discovered in 1869 in the demolition of The Croft, a farmstead formerly near Aberafan (now Port Talbot), possibly the site of a medieval chapel,[1] and was deposited ultimately in the National Museum of Wales.

`[1] Arch. Camb., LXXX (1925), p. 424; (see also p. 21).''"|in display|museum|Macalister/1949, 152, `now in the National Museum of Wales.'|slbns|"Richards/1925, 425, The stone is a recumbent slab...It measures 10 3/4 in. x 11 in. x 3 1/4 in.  There is no evidence of dressing; two of the surfaces are as taken from the quarry.''

Nash-Williams/1950, 161, `(Pl. XXIII and Fig. 176[3]).... Upper portion of a roughly rectangular pillar-stone. 10 3/4'" h. x 11'" w. x 3 1/2'" t.

`[3] With the final `N.'' omitted.''

RCAHMW/1976, 42: `Part of squared slab (Plate 5), with incised cross and inscription, probably originally recumbent...The fragment, 28cm by 25cm in width and 10 cm thick... but is split in two pieces.''"|incomplete|good|"Macalister/1949, 152, `the bottom of the stone broken away.''

RCAHMW/1976, 42, `Part of squared slab...split in two pieces.''"|RCAHMW/1976|0.28|actual|0.25|actual|0.1|actual|Macalister/1949|0|11|actual|0|10.5|actual|0|3.75|actual||1|"Macalister/1949, 152, `It bears a simple cross with expanding ends, and two inscriptions.''

Nash-Williams/1950, 161, `Deeply picked linear Latin cross with splayed arm-ends (cf. Fig. 6, 11).''

RCAHMW/1976, 42, `The face bears an incised Latin cross (Fig. 7, a) 25cm by 14cm, with slightly enlarged terminals (almost wedge-shaped).''"|f|PRTT3/1
